component,category,status,apip_navigation,visual_check
Card,Primitive,Built,Any page — all white containers,White rounded-2xl box with a 1px #E8EAF2 border. pad=true adds 16px padding on all sides; pad=false content sits flush to edges.
PanelCard,Primitive,Built,Sidebar > Air Freight > Warehouse — "Announced shipments" panel,"White rounded-2xl box. Header row: 15px accent (#5B7CE6) icon on left + bold 14px title. Children render below with no separator."
Btn,Primitive,Built,Sidebar > Air Freight > Warehouse — buttons top-right + inside detail view,"Dark variant: navy (#0E1438) bg / white text. Light variant: white bg / ink (#1B2440) text / 1px border. Both: rounded-lg px-3.5 py-2 text-xs font-semibold. Disabled: 40% opacity."
Kpi,Primitive,Built,Sidebar > Air Freight > Warehouse — 4 stat tiles below page title,"White rounded-2xl p-3.5 tile. 10px uppercase tracking-wide sub-colored label on top. 24px bold value below (mt-1). Optional smaller sub-text in sub color after value."
KV,Primitive,Built,Sidebar > Air Freight > Warehouse > click any row > detail view,"Two-line block. Key: 10px uppercase tracking-wide faint (#AEB4C9) — no bold. Value: font-semibold ink color directly below."
Lbl,Primitive,Built,Sidebar > Air Freight > Warehouse > click 'Announce new arrival' > form fields,"10px uppercase tracking-wide SEMIBOLD sub (#8A93AD) label sits directly above an input. Distinguishable from KV key by: semibold weight + sub color (not faint)."
PageShell,Shell / Layout,Built,Any page after login,"Outer flex row: sidebar (224px fixed left) + right column (topbar 58px fixed top + scrollable main below)."
Sidebar,Shell / Layout,Built,Visible on every page — left edge,"224px white panel with right border. Top: logo (46px height) + role chip + branch selector. Middle: scrollable nav. Bottom: website link + copyright."
SidebarItem,Shell / Layout,Built,Sidebar — any leaf nav item,"12px medium text. Active state: #EEF0FE bg + #6366F1 text. Default: transparent bg + #8A93AD text. rounded-lg px-3 py-1.5."
Topbar,Shell / Layout,Built,Visible on every page — top edge,"58px white bar with bottom border. Left: global search (soft bg rounded-lg + Search icon). Right: Globe + Bell (with indigo dot) + avatar circle + name/role + chevron."
PageHeader,Shell / Layout,Built,Any content page — above KPI grid,"flex wrap row: left side has breadcrumb trail + h1 (text-xl font-bold). Right side has optional action slot. mb-4 below."
Breadcrumb,Shell / Layout,Built,Any page — top of content area above h1,"text-[11px] sub-colored trail. Items separated by ChevronRight at 11px. Example: 'Air Freight  ›  Warehouse'."
Footer,Shell / Layout,Built,Sidebar — very bottom below website link,"px-5 py-3 border-t. Single line: text-[9px] faint copyright text."
WorkspaceSwitcher,Shell / Layout,Built,Sidebar — below role chip above nav,"rounded-lg bordered select element with branch options. Filters to own-type branches only."
Badge,Status & Feedback,Pending,Sidebar > Customs > Workstation — parcel list table,"rounded-full px-2.5 py-0.5 text-[11px] font-semibold. 6 color pairs: released (green) / review (orange) / hold (dark orange) / inspect (red) / unknown (purple) / missing (slate)."
Pill,Status & Feedback,Pending,Sidebar > Air Freight > Files — status column OR Sidebar > Customs > Declarations,"Same shape as Badge but uses MPILL map: cleared / progress / hold / pending / active / inactive."
Chip,Status & Feedback,Pending,Sidebar > Air Freight > Track & Trace — Inbound tab — each shipment row,"Inline tag. Arbitrary text/color/bg props. Examples: 'Left YCC' (green) / 'No AWB' (orange) / current stage label (blue/purple)."
Tag / TChip,Status & Feedback,Pending,Sidebar > Customs > Bonded Warehouse — goods list rows,"T1: blue (#1D4ED8) text on #EFF4FF bg. T2: purple (#6D28D9) text on #F1ECFE bg. Inline in row next to ref number."
Banner,Status & Feedback,Pending,Sidebar > Air Freight > Warehouse — top of page above KPI tiles,"rounded-xl colored bg + matching border. Red (stale shipment >7 days) and amber (damage reported) variants visible on Warehouse page."
ConnPill,Status & Feedback,Pending,Sidebar > Customs > Connectivity — integration list,"Small pill per integration: live (green dot + 'Live') / degraded (amber) / down (red). Dot pulses via flpulse animation."
TabSwitcher,Navigation,Pending,Sidebar > Air Freight > Track & Trace — tab row above shipment list,"rounded-full container (white bg + border). Pill buttons inside: active = accent bg + white text. Inactive = transparent + sub text. Optional badge count on each tab."
Stepper,Navigation,Pending,Sidebar > Air Freight > Track & Trace — Inbound tab — each shipment card,"Horizontal row of circles (28×28px). Done: accent (#5B7CE6) bg + icon. Pending: faint (#AEB4C9) bg + icon. Connector bar between each. Label beneath each circle."
SearchBar,Navigation,Pending,Sidebar > Air Freight > Warehouse — above shipment list,"rounded-lg soft (#F6F7FB) bg + 1px border. Search icon (14px sub color) on left. Transparent input. Max-width ~340px on list pages."
Avatar,Data Display,Pending,Topbar — user avatar circle (top-right) + user-switch dropdown list,"Circle. Base (topbar): h-8 w-8 (32px) rounded-full indigo (#6366F1) bg + white initial letter. SM (dropdown list): h-6 w-6 (24px). LG (row icon): h-9 w-9 (36px) rounded-lg soft bg."
ActionRow,Data Display,Pending,Sidebar > Air Freight > Warehouse — shipment list rows,"36×36 icon avatar (soft bg rounded-lg) + ref/AWB bold + status chips + meta line (sub color 11px) + right-side action or ChevronRight. Hover adds shadow-sm."
MiniDashboard,Data Display,Pending,Home page — module widget cards,"4 Kpi tiles in a 2×2 grid + row of quick-action Btn below. Wrapped in a Card. One widget per module on the home dashboard."
DocHeader,Data Display,Pending,Sidebar > Customs > Workstation > open any parcel dossier — top of dossier,"rounded-xl #ECFDF5 bg + #A7F3D0 border. Green dot (h-2.5 w-2.5 rounded-full) + 11px leading-snug text in #166534. 'Please don't print...' message."
Toggle,Form & Input,Pending,Sidebar > Air Freight > Warehouse > 'Announce new arrival' > direction field,"Two-button segmented control. One side active (colored bg). Example: Import (blue) / Export (purple). Also used for T1/T2 selection in Bonded Warehouse."
Sel,Form & Input,Pending,Any form page with a dropdown — e.g. Sidebar > Air Freight > Warehouse > 'Announce new arrival',"Styled select: rounded-lg border #E8EAF2 soft bg #F6F7FB. Same height/padding as text inputs."
AField,Form & Input,Pending,Sidebar > Air Freight > Warehouse > 'Announce new arrival' — any labeled input,"Lbl component on top (10px uppercase semibold) + input element below with mt gap. The consistent form field wrapper."
Seg,Form & Input,Pending,Sidebar > Customs > Workstation — view switcher (Parcel list / Batch report),"Multi-option button group in a soft bg pill container. More than 2 options. Active option gets accent or ink bg."
ScanZone,Upload & Media,Pending,Sidebar > Air Freight > Warehouse > click any row > 'Documents photos & damage' panel,"Dashed border drop zone. Default: #F6F7FB bg + #E8EAF2 border. Drag-over: #EEF4FF bg + #5B7CE6 border. Camera + Upload icons centered. Below: 88×64px thumbnail grid with Trash2 remove button per item."
DropZone,Upload & Media,Pending,Sidebar > Customs > Workstation — top of page before any parcels loaded,"Text-only drop zone (no thumbnails). 'Drop your manifest CSV here' message. Simpler than ScanZone."
Donut,Visualisation,Pending,Sidebar > Customs > Workstation > Finalize batch > click any shipper > Shipper Detail panel,"SVG circle. Outer track (faint) + inner arc (colored) showing percentage. Percentage text centered. Default 52px; large 72px in ShipperDetail."
TrendSpark,Visualisation,Pending,Sidebar > Customs > Workstation > Finalize batch > ShipperRow or ShipperDetail,"SVG 84×26px polyline from data array. Up trend = red ▲ suffix. Down trend = green ▼ suffix."
CompareBar,Visualisation,Pending,Sidebar > Customs > Workstation > open parcel Dossier > weight/dimensions section,"Two horizontal bars stacked: declared (faint) + measured (accent or red if delta >10%). 'not captured' text shown when measurement missing."
Factor,Visualisation,Pending,Sidebar > Customs > Workstation > Finalize batch > ShipperRow — risk factor bars,"Label + percentage value on one line. Horizontal progress bar below. Color: green (<15%) / orange (<35%) / red (≥35%)."
DistBars,Visualisation,Pending,Sidebar > Customs > Workstation > Finalize batch > Batch Report card — outcome bar,"Single horizontal bar split into colored segments proportional to STATUS counts: green (released) / orange (review) / dark-orange (hold) / red (inspect) / purple (unknown) / slate (missing)."
BotDot,AI / Consensus,Pending,Sidebar > Customs > Workstation > open parcel Dossier > any AI panel,"20×20 rounded-full circle. VIS: #5B7CE6. HIST: #0EA5E9. LLM: #8B5CF6. STAT: #14B8A6. Bot initial letter centered in white."
BasisChips,AI / Consensus,Pending,Sidebar > Customs > Workstation > open parcel Dossier > AI enrichment or vote panel — bottom,"'basis:' label (10px sub) followed by small chips: soft bg + #E8EAF2 border + 10px text. Lists the data sources the AI used."
EnrichPanel,AI / Consensus,Pending,Sidebar > Customs > Workstation > open parcel Dossier > 'Description enrichment' panel,"Cpu icon + 'Description enrichment' title. Original text (strikethrough or faint) → enriched text below. 2×2 grid of BotDots showing which bots contributed. BasisChips at bottom."
VotePanel,AI / Consensus,Pending,Sidebar > Customs > Workstation > open parcel Dossier > 'Weight consensus' or 'HS code' panel,"Scale/Hash icon + panel title. Outcome pill: 'applied' (green) / 'flag' (red) / 'escalate' (orange). 4-bot row: each BotDot + agrees/disagrees indicator + bot's output value + confidence %. BasisChips at bottom."
ConsensusPanel,AI / Consensus,Pending,Sidebar > Customs > Workstation > open parcel Dossier — any AI consensus section,"Wrapper only — delegates to EnrichPanel or VotePanel based on 'kind' prop. No unique visual output of its own."
NotifyChip,Utility,Pending,Sidebar > Air Freight > Track & Trace — Inbound tab — right side of each shipment card,"Inline 11px chip. none: BellOff icon + faint color. milestones: Bell icon + blue. all: Bell icon + green."
Spinner,Utility,Pending,Any async loading state — e.g. initial app load or CSV processing in Workstation,"Animated circle indicator. Appears briefly during data operations."
LeafMark,Utility,Pending,Sidebar > Customs > Workstation > open parcel Dossier — top banner,"Inline SVG 12×12px green leaf. verticalAlign: -2px marginRight: 3px. Path fill: #16A34A at 92% opacity. White highlight stroke inside leaf."
NoAccess,Utility,Pending,Navigate to any route your current user role does not have access to,"Lock icon centered + access-denied message. Replaces page content when role check fails."
